Time (s),Paw (cmH2O),Flow (l/min),Volume (ml),Vt (ml),Ti (s),RR (/min),PEEP (cmH2O)
1586740290.3549051,5.189208984375,-0.1373291015625,0.0,300,1.2,18,5
1586740290.404299,5.1617431640625,0.0274658203125,0.0,300,1.2,18,5
1586740290.454747,5.218505859375,-0.0274658203125,0.0,300,1.2,18,5
1586740290.504163,5.218505859375,-0.0823974609375,0.0,300,1.2,18,5
1586740290.554765,5.189208984375,-0.0823974609375,0.0,300,1.2,18,5
1586740290.604148,5.218505859375,-0.0274658203125,0.0,300,1.2,18,5
1586740290.654513,5.218505859375,0.0274658203125,0.0,300,1.2,18,5
1586740290.7048588,7.5604248046875,6.2164306640625,0.10986328125,300,1.2,18,5
1586740290.754262,9.8291015625,48.0010986328125,11.90185546875,300,1.2,18,5
1586740290.804704,11.4349365234375,49.0997314453125,24.8046875,300,1.2,18,5
1586740290.855066,12.9656982421875,52.1209716796875,38.26904296875,300,1.2,18,5
1586740290.904465,14.4891357421875,46.9482421875,52.0263671875,300,1.2,18,5
1586740290.954876,15.999755859375,49.8779296875,65.44189453125,300,1.2,18,5
1586740291.004255,17.457275390625,47.222900390625,79.13818359375,300,1.2,18,5
1586740291.0537002,18.9129638671875,51.1505126953125,93.61572265625,300,1.2,18,5
1586740291.104322,20.3411865234375,48.6328125,107.48291015625,300,1.2,18,5
1586740291.153976,21.741943359375,49.273681640625,121.337890625,300,1.2,18,5
1586740291.204385,23.2635498046875,50.9307861328125,135.791015625,300,1.2,18,5
1586740291.2547479,24.7210693359375,52.9449462890625,149.609375,300,1.2,18,5
1586740291.304186,26.1199951171875,48.358154296875,163.70849609375,300,1.2,18,5
1586740291.354159,27.623291015625,47.552490234375,177.55126953125,300,1.2,18,5
1586740291.404093,28.9874267578125,48.9898681640625,191.36962890625,300,1.2,18,5
1586740291.454537,30.4705810546875,50.79345703125,205.16357421875,300,1.2,18,5
1586740291.5049212,31.8896484375,53.61328125,219.5068359375,300,1.2,18,5
1586740291.5543191,33.28125,50.42724609375,232.87353515625,300,1.2,18,5
1586740291.604738,34.6728515625,49.0447998046875,246.7041015625,300,1.2,18,5
1586740291.6537652,36.119384765625,49.0997314453125,261.21826171875,300,1.2,18,5
1586740291.704127,37.5018310546875,49.2462158203125,274.84130859375,300,1.2,18,5
1586740291.7537432,38.9483642578125,50.20751953125,288.75732421875,300,1.2,18,5
1586740291.8032792,35.66162109375,-4.229736328125,295.47119140625,300,1.2,18,5
1586740291.854346,36.03515625,1.6021728515625,294.81201171875,300,1.2,18,5
1586740291.903562,35.4656982421875,-1.153564453125,294.7509765625,300,1.2,18,5
1586740291.954603,14.68505859375,-155.6488037109375,266.5771484375,300,1.2,18,5
1586740292.004281,13.29345703125,-146.8780517578125,224.4873046875,300,1.2,18,5
1586740292.053903,11.8084716796875,-131.0760498046875,185.9619140625,300,1.2,18,5
1586740292.1034849,11.070556640625,-117.5811767578125,150.76904296875,300,1.2,18,5
1586740292.1545658,10.352783203125,-100.927734375,121.03271484375,300,1.2,18,5
1586740292.204284,9.6624755859375,-92.76123046875,94.8486328125,300,1.2,18,5
1586740292.2539499,9.1021728515625,-77.874755859375,71.64306640625,300,1.2,18,5
1586740292.303461,8.551025390625,-65.478515625,52.20947265625,300,1.2,18,5
1586740292.35327,8.074951171875,-54.217529296875,35.43701171875,300,1.2,18,5
1586740292.404159,7.5604248046875,-45.1995849609375,21.1181640625,300,1.2,18,5
1586740292.453714,7.1044921875,-39.3951416015625,9.68017578125,300,1.2,18,5
1586740292.5042381,6.8133544921875,-31.8145751953125,0.20751953125,300,1.2,18,5
1586740292.554605,6.5350341796875,-25.3143310546875,0.0,300,1.2,18,5
1586740292.604203,6.2164306640625,-19.775390625,0.0,300,1.2,18,5
1586740292.654457,6.0205078125,-15.0421142578125,0.0,300,1.2,18,5
1586740292.704967,5.88134765625,-10.2630615234375,0.0,300,1.2,18,5
1586740292.7536771,5.731201171875,-7.6904296875,0.0,300,1.2,18,5
1586740292.804058,5.64697265625,-5.1727294921875,0.0,300,1.2,18,5
1586740292.854526,5.526123046875,-3.5064697265625,0.0,300,1.2,18,5
1586740292.9049459,5.4693603515625,-2.398681640625,0.0,300,1.2,18,5
1586740292.954113,5.3851318359375,-1.7669677734375,0.0,300,1.2,18,5
1586740293.003466,5.3009033203125,-1.409912109375,0.0,300,1.2,18,5
1586740293.0538619,5.2734375,-1.153564453125,0.0,300,1.2,18,5
1586740293.104096,5.218505859375,-0.7965087890625,0.0,300,1.2,18,5
1586740293.154421,5.189208984375,-0.6317138671875,0.0,300,1.2,18,5
1586740293.203663,5.1617431640625,-0.4669189453125,0.0,300,1.2,18,5
1586740293.254053,5.13427734375,-0.4669189453125,0.0,300,1.2,18,5
1586740293.3045068,5.13427734375,-0.384521484375,0.0,300,1.2,18,5
1586740293.354793,5.10498046875,-0.4669189453125,0.0,300,1.2,18,5
1586740293.404222,5.0775146484375,-0.32958984375,0.0,300,1.2,18,5
1586740293.454797,5.0225830078125,-0.2471923828125,0.0,300,1.2,18,5
1586740293.5043042,5.0225830078125,-0.3021240234375,0.0,300,1.2,18,5
1586740293.554757,4.9932861328125,-0.1922607421875,0.0,300,1.2,18,5
1586740293.604086,5.0775146484375,0.933837890625,0.0,300,1.2,18,5
1586740293.6540868,5.2459716796875,0.0274658203125,0.0,300,1.2,18,5
1586740293.704118,5.1617431640625,-0.10986328125,0.0,300,1.2,18,5
1586740293.796829,5.189208984375,-0.054931640625,0.0,300,1.2,18,5
1586740293.810991,5.1617431640625,0.0,0.0,300,1.2,18,5
1586740293.9035149,5.189208984375,-0.054931640625,0.0,300,1.2,18,5
1586740293.954945,5.2459716796875,-0.10986328125,0.0,300,1.2,18,5
1586740294.0034208,5.2459716796875,-0.054931640625,0.0,300,1.2,18,5
1586740294.053995,8.858642578125,48.2757568359375,2.94189453125,300,1.2,18,5
1586740294.104428,10.3253173828125,46.83837890625,15.90576171875,300,1.2,18,5
1586740294.1548522,11.920166015625,47.772216796875,29.2236328125,300,1.2,18,5
1586740294.2042801,13.516845703125,47.9736328125,43.20068359375,300,1.2,18,5
1586740294.254762,15.029296875,49.822998046875,56.82373046875,300,1.2,18,5
1586740294.303823,16.45751953125,54.638671875,70.9228515625,300,1.2,18,5
1586740294.354274,17.969970703125,51.123046875,85.205078125,300,1.2,18,5
1586740294.4046888,19.4073486328125,52.7252197265625,98.9501953125,300,1.2,18,5
1586740294.4550998,20.826416015625,49.9603271484375,112.646484375,300,1.2,18,5
1586740294.5045419,22.349853515625,51.6448974609375,126.74560546875,300,1.2,18,5
1586740294.554566,23.8055419921875,46.6094970703125,140.7958984375,300,1.2,18,5
1586740294.604512,25.2337646484375,52.91748046875,154.79736328125,300,1.2,18,5
1586740294.654207,26.6986083984375,47.5250244140625,168.98193359375,300,1.2,18,5
1586740294.704658,28.0902099609375,52.5604248046875,182.67822265625,300,1.2,18,5
1586740294.755179,29.50927734375,48.4130859375,196.59423828125,300,1.2,18,5
1586740294.804589,30.9375,50.79345703125,210.888671875,300,1.2,18,5
1586740294.8550222,32.3565673828125,47.3876953125,224.609375,300,1.2,18,5
1586740294.904442,33.8031005859375,55.6915283203125,238.22021484375,300,1.2,18,5
1586740294.954873,35.185546875,49.932861328125,251.7822265625,300,1.2,18,5
1586740295.0043101,36.6046142578125,47.05810546875,266.015625,300,1.2,18,5
1586740295.0548391,38.023681640625,47.1954345703125,279.89501953125,300,1.2,18,5
1586740295.104285,36.763916015625,44.732666015625,293.9453125,300,1.2,18,5
1586740295.154711,36.1761474609375,-5.96923828125,295.25146484375,300,1.2,18,5
1586740295.2051241,35.7916259765625,0.1922607421875,295.20263671875,300,1.2,18,5
1586740295.254598,24.9444580078125,-85.7025146484375,291.89453125,300,1.2,18,5
1586740295.304225,13.4619140625,-178.6651611328125,252.77099609375,300,1.2,18,5
1586740295.354698,12.8265380859375,-134.72900390625,212.1337890625,300,1.2,18,5
1586740295.4050891,11.407470703125,-127.1209716796875,174.0478515625,300,1.2,18,5
1586740295.45376,10.94970703125,-109.97314453125,142.1142578125,300,1.2,18,5
1586740295.5051782,10.10009765625,-99.0692138671875,113.330078125,300,1.2,18,5
1586740295.554622,9.5489501953125,-82.196044921875,88.0126953125,300,1.2,18,5
1586740295.605076,8.8861083984375,-73.2330322265625,66.51611328125,300,1.2,18,5
1586740295.654476,8.3367919921875,-55.078125,48.4619140625,300,1.2,18,5
1586740295.704886,7.840576171875,-51.0406494140625,32.7880859375,300,1.2,18,5
1586740295.753367,7.393798828125,-41.85791015625,19.76318359375,300,1.2,18,5
1586740295.8044531,7.0477294921875,-36.602783203125,8.7158203125,300,1.2,18,5
1586740295.854791,6.73095703125,-29.2144775390625,0.0,300,1.2,18,5
1586740295.905222,6.357421875,-23.2086181640625,0.0,300,1.2,18,5
1586740295.95385,6.1322021484375,-17.449951171875,0.0,300,1.2,18,5
1586740296.0043058,5.9637451171875,-13.3575439453125,0.0,300,1.2,18,5
1586740296.0547981,5.85205078125,-9.4573974609375,0.0,300,1.2,18,5
1586740296.104314,5.7037353515625,-6.8023681640625,0.0,300,1.2,18,5
1586740296.15477,5.592041015625,-4.7515869140625,0.0,300,1.2,18,5
1586740296.205181,5.4986572265625,-3.0120849609375,0.0,300,1.2,18,5
1586740296.2546291,5.4144287109375,-2.01416015625,0.0,300,1.2,18,5
1586740296.305048,5.357666015625,-1.739501953125,0.0,300,1.2,18,5
1586740296.3544881,5.13427734375,-1.959228515625,0.0,300,1.2,18,5
1586740296.404982,5.2459716796875,-1.2725830078125,0.0,300,1.2,18,5
1586740296.453859,5.1617431640625,-1.2725830078125,0.0,300,1.2,18,5
1586740296.5043032,5.189208984375,-0.4119873046875,0.0,300,1.2,18,5
1586740296.5547361,5.2459716796875,0.823974609375,0.0,300,1.2,18,5
1586740296.605134,5.357666015625,0.10986328125,0.0,300,1.2,18,5
1586740296.6545768,5.3009033203125,-0.1373291015625,0.0,300,1.2,18,5
1586740296.705039,5.3302001953125,0.054931640625,0.0,300,1.2,18,5
1586740296.7540212,5.357666015625,-0.0274658203125,0.0,300,1.2,18,5
1586740296.8044531,5.3851318359375,0.0274658203125,0.0,300,1.2,18,5
1586740296.854898,5.4144287109375,-0.054931640625,0.0,300,1.2,18,5
1586740296.904354,5.4144287109375,-0.0274658203125,0.0,300,1.2,18,5
1586740296.954777,5.4693603515625,0.0274658203125,0.0,300,1.2,18,5
1586740297.005214,5.44189453125,-0.0274658203125,0.0,300,1.2,18,5
1586740297.05465,5.4986572265625,-0.0274658203125,0.0,300,1.2,18,5
1586740297.105118,5.4986572265625,0.0823974609375,0.0,300,1.2,18,5
1586740297.154565,5.4986572265625,0.0274658203125,0.0,300,1.2,18,5
1586740297.20508,5.4986572265625,-0.0274658203125,0.0,300,1.2,18,5
1586740297.254525,5.5535888671875,0.0,0.0,300,1.2,18,5
1586740297.305036,5.5535888671875,0.0274658203125,0.0,300,1.2,18,5
1586740297.354388,5.5535888671875,0.0,0.0,300,1.2,18,5
1586740297.404897,9.605712890625,51.123046875,7.23876953125,300,1.2,18,5
1586740297.454365,11.18408203125,52.2308349609375,20.81298828125,300,1.2,18,5
1586740297.504312,12.88330078125,47.5799560546875,34.619140625,300,1.2,18,5
1586740297.5547678,14.3756103515625,50.4913330078125,48.2177734375,300,1.2,18,5
1586740297.605189,15.8880615234375,53.558349609375,62.060546875,300,1.2,18,5
1586740297.6547132,17.4005126953125,49.603271484375,76.52587890625,300,1.2,18,5
1586740297.704351,18.80126953125,55.18798828125,90.8203125,300,1.2,18,5
1586740297.754354,20.2862548828125,50.1251220703125,104.72412109375,300,1.2,18,5
1586740297.8050728,21.741943359375,49.072265625,118.93310546875,300,1.2,18,5
1586740297.854552,23.170166015625,49.4659423828125,132.65380859375,300,1.2,18,5
1586740297.905094,24.664306640625,50.372314453125,146.47216796875,300,1.2,18,5
1586740297.954529,26.1492919921875,49.1546630859375,161.07177734375,300,1.2,18,5
1586740298.005019,27.5958251953125,48.7701416015625,174.79248046875,300,1.2,18,5
1586740298.054473,28.9874267578125,53.28369140625,188.68408203125,300,1.2,18,5
1586740298.1049778,30.4705810546875,53.118896484375,202.8564453125,300,1.2,18,5
1586740298.154498,31.907958984375,46.03271484375,216.455078125,300,1.2,18,5
1586740298.204957,33.3087158203125,50.8758544921875,230.50537109375,300,1.2,18,5
1586740298.254406,34.727783203125,45.977783203125,244.53125,300,1.2,18,5
1586740298.304543,36.1761474609375,50.3173828125,258.3740234375,300,1.2,18,5
1586740298.354462,37.613525390625,47.7447509765625,272.22900390625,300,1.2,18,5
1586740298.4048939,39.0325927734375,50.152587890625,286.31591796875,300,1.2,18,5
1586740298.454346,35.3265380859375,-0.054931640625,294.66552734375,300,1.2,18,5
1586740298.504048,36.4654541015625,0.9613037109375,293.798828125,300,1.2,18,5
1586740298.554641,36.0919189453125,-1.1810302734375,293.8720703125,300,1.2,18,5
1586740298.6050692,22.60986328125,-104.18701171875,282.0556640625,300,1.2,18,5
1586740298.6545238,18.9422607421875,-122.3419189453125,246.142578125,300,1.2,18,5
1586740298.7050629,17.457275390625,-109.8907470703125,212.2802734375,300,1.2,18,5
1586740298.7545412,16.5692138671875,-99.371337890625,182.94677734375,300,1.2,18,5
1586740298.805022,15.63720703125,-89.0533447265625,157.1533203125,300,1.2,18,5
1586740298.8544798,14.945068359375,-74.7528076171875,134.48486328125,300,1.2,18,5
